scholar_name,mag_name,jw,qgram,scholar_cat
ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming (PPOPP),ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,0.928,0.873,eng_softwaresystems
ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming (PPOPP),ACM SIGPLAN conference on History of Programming Languages,0.836,0.443,eng_softwaresystems
ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming (PPOPP),ACM Symposium on Solid Modeling and Applications,0.823,0.354,eng_softwaresystems
ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),ACM SIGPLAN conference on History of Programming Languages,0.865,0.588,eng_softwaresystems
ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,0.855,0.5,eng_softwaresystems
ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),ACM Transactions on Modeling and Performance Evaluation of Computing,0.842,0.425,eng_softwaresystems
SPE Reservoir Evaluation & Engineering,Spe Reservoir Evaluation & Engineering,1,1,eng_oilpetroleumnaturalgas
SPE Reservoir Evaluation & Engineering,Spe Reservoir Engineering,0.9,0.667,eng_oilpetroleumnaturalgas
SPE Reservoir Evaluation & Engineering,Spe Production Engineering,0.837,0.513,eng_oilpetroleumnaturalgas
SPE Production & Operations,Spe Production & Operations,1,1,eng_oilpetroleumnaturalgas
SPE Production & Operations,Spe Production & Facilities,0.917,0.679,eng_oilpetroleumnaturalgas
SPE Production & Operations,Spe Production Engineering,0.876,0.571,eng_oilpetroleumnaturalgas
SPE Journal,Spe Journal,1,1,eng_oilpetroleumnaturalgas
SPE Journal,Sampe Journal,0.954,0.786,eng_oilpetroleumnaturalgas
SPE Journal,Smpte Journal,0.954,0.714,eng_oilpetroleumnaturalgas
SPE Drilling & Completion,Spe Drilling & Completion,1,1,eng_oilpetroleumnaturalgas
SPE Drilling & Completion,Spe Drilling Engineering,0.849,0.5,eng_oilpetroleumnaturalgas
SPE Drilling & Completion,Spe Computer Applications,0.825,0.5,eng_oilpetroleumnaturalgas
Petroleum Science and Technology,Petroleum Science and Technology,1,1,eng_oilpetroleumnaturalgas
Petroleum Science and Technology,Petroleum Science,0.906,0.545,eng_oilpetroleumnaturalgas
Petroleum Science and Technology,Petroleum Processing and Petrochemicals,0.895,0.4,eng_oilpetroleumnaturalgas
Petroleum Science,Petroleum Science,1,1,eng_oilpetroleumnaturalgas
Petroleum Science,Petroleum Geoscience,0.935,0.81,eng_oilpetroleumnaturalgas
Petroleum Science,Petroleum economist,0.908,0.5,eng_oilpetroleumnaturalgas
Petroleum Geoscience,Petroleum Geoscience,1,1,eng_oilpetroleumnaturalgas
Petroleum Geoscience,Petroleum Science,0.935,0.81,eng_oilpetroleumnaturalgas
Petroleum Geoscience,Petroleum Geophysics,0.908,0.619,eng_oilpetroleumnaturalgas
Petroleum Exploration and Development,Petroleum Exploration and Development,1,1,eng_oilpetroleumnaturalgas
Petroleum Exploration and Development,Petroleum Geology & Experiment,0.86,0.474,eng_oilpetroleumnaturalgas
Petroleum Exploration and Development,Petroleum Geology & Oilfield Development in Daqing,0.857,0.49,eng_oilpetroleumnaturalgas
Petroleum Chemistry,Petroleum Chemistry,1,1,eng_oilpetroleumnaturalgas
Petroleum Chemistry,Petroleum Chemistry U.s.s.r.,0.936,0.69,eng_oilpetroleumnaturalgas
Petroleum Chemistry,Petroleum economist,0.924,0.65,eng_oilpetroleumnaturalgas
Petroleum,Petroleum,1,1,eng_oilpetroleumnaturalgas
Petroleum,Petroleum review,0.912,0.588,eng_oilpetroleumnaturalgas
Petroleum,Petroleum Science,0.906,0.556,eng_oilpetroleumnaturalgas
Oil & Gas Science and Technology–Revue d’IFP Energies nouvelles,Oil & Gas Science and Technology – Revue d’IFP Energies nouvelles,0.959,0.939,eng_oilpetroleumnaturalgas
Oil & Gas Science and Technology–Revue d’IFP Energies nouvelles,Oil & Gas Science and Technology-revue De L Institut Francais Du Petrole,0.915,0.548,eng_oilpetroleumnaturalgas
Oil & Gas Science and Technology–Revue d’IFP Energies nouvelles,"World Review of Science, Technology and Sustainable Development",0.762,0.484,eng_oilpetroleumnaturalgas
Natural Gas Industry B,Natural Gas Industry B,1,1,eng_oilpetroleumnaturalgas
Natural Gas Industry B,Natural Gas Industry,0.982,0.913,eng_oilpetroleumnaturalgas
Natural Gas Industry B,Natural Gas,0.9,0.522,eng_oilpetroleumnaturalgas
Marine and Petroleum Geology,Marine and Petroleum Geology,1,1,eng_oilpetroleumnaturalgas
Marine and Petroleum Geology,Marine Micropaleontology,0.877,0.517,eng_oilpetroleumnaturalgas
Marine and Petroleum Geology,Marine Drugs,0.862,0.241,eng_oilpetroleumnaturalgas
Journal of Petroleum Science and Engineering,Journal of Petroleum Science and Engineering,1,1,eng_oilpetroleumnaturalgas
Journal of Petroleum Science and Engineering,Journal of Tissue Science and Engineering,0.942,0.778,eng_oilpetroleumnaturalgas
Journal of Petroleum Science and Engineering,Journal of Leather Science and Engineering,0.937,0.8,eng_oilpetroleumnaturalgas
Journal of Petroleum Exploration and Production Technology,Journal of Petroleum Exploration and Production Technology,1,1,eng_oilpetroleumnaturalgas
Journal of Petroleum Exploration and Production Technology,Journal of Petroleum & Environmental Biotechnology,0.891,0.593,eng_oilpetroleumnaturalgas
Journal of Petroleum Exploration and Production Technology,Journal of Contemporary Urologic and Reproductive Oncology,0.885,0.593,eng_oilpetroleumnaturalgas
Journal of Natural Gas Science and Engineering,Journal of Natural Gas Science and Engineering,1,1,eng_oilpetroleumnaturalgas
Journal of Natural Gas Science and Engineering,Journal of Natural Sciences Engineering and Technology,0.913,0.782,eng_oilpetroleumnaturalgas
Journal of Natural Gas Science and Engineering,Journal of computing science and engineering,0.906,0.745,eng_oilpetroleumnaturalgas
Energy Exploration & Exploitation,Energy Exploration & Exploitation,1,1,eng_oilpetroleumnaturalgas
Energy Exploration & Exploitation,Energy Environmental Protection,0.842,0.412,eng_oilpetroleumnaturalgas
Energy Exploration & Exploitation,Energy Research and Utilization,0.836,0.382,eng_oilpetroleumnaturalgas
Egyptian Journal of Petroleum,Egyptian Journal of Petroleum,1,1,eng_oilpetroleumnaturalgas
Egyptian Journal of Petroleum,Egyptian Journal of Pathology,0.931,0.733,eng_oilpetroleumnaturalgas
Egyptian Journal of Petroleum,Egyptian Journal of Horticulture,0.926,0.606,eng_oilpetroleumnaturalgas
American Association of Petroleum Geologists Bulletin,American Association of Industrial Nurses journal,0.87,0.519,eng_oilpetroleumnaturalgas
American Association of Petroleum Geologists Bulletin,American Journal of Biomedical Engineering,0.856,0.296,eng_oilpetroleumnaturalgas
American Association of Petroleum Geologists Bulletin,American Journal of Electroneurodiagnostic Technology,0.855,0.426,eng_oilpetroleumnaturalgas
Advances in Geo-Energy Research,Advances in Cement Research,0.916,0.688,eng_oilpetroleumnaturalgas
Advances in Geo-Energy Research,Advances in Enzyme Research,0.914,0.688,eng_oilpetroleumnaturalgas
Advances in Geo-Energy Research,Advances in Building Energy Research,0.908,0.73,eng_oilpetroleumnaturalgas
Transportation Science,Transportation Science,1,1,eng_operationsresearch
Transportation Science,Transportation geotechnics,0.942,0.556,eng_operationsresearch
Transportation Science,Transportation,0.927,0.652,eng_operationsresearch
Transportation Research Part E: Logistics and Transportation Review,Transportation Research Part E-logistics and Transportation Review,0.948,0.956,eng_operationsresearch
Transportation Research Part E: Logistics and Transportation Review,Transportation Research Part A: General,0.901,0.471,eng_operationsresearch
Transportation Research Part E: Logistics and Transportation Review,Transportation Research Board Special Report,0.896,0.485,eng_operationsresearch
The International Journal of Logistics Management,The International Journal of Logistics Management,1,1,eng_operationsresearch
The International Journal of Logistics Management,The International Journal of Management,0.939,0.8,eng_operationsresearch
The International Journal of Logistics Management,The International Journal of Aging and Society,0.939,0.64,eng_operationsresearch
Supply Chain Management: An International Journal,Supply Chain Management,0.894,0.46,eng_operationsresearch
Supply Chain Management: An International Journal,Supply Chain Management Review,0.883,0.46,eng_operationsresearch
Supply Chain Management: An International Journal,Cross Cultural Management: An International Journal,0.868,0.731,eng_operationsresearch
Production and Operations Management,Production and Operations Management,1,1,eng_operationsresearch
Production and Operations Management,Production Engineer,0.885,0.351,eng_operationsresearch
Production and Operations Management,Production Engineering,0.863,0.351,eng_operationsresearch
Production Planning & Control,Production Planning & Control,1,1,eng_operationsresearch
Production Planning & Control,Production Engineer,0.866,0.433,eng_operationsresearch
Production Planning & Control,Production Journal,0.863,0.4,eng_operationsresearch
Operations Research,Operations Research,1,1,eng_operationsresearch
Operations Research,Operational Research,0.958,0.857,eng_operationsresearch
Operations Research,Operations Research Letters,0.941,0.714,eng_operationsresearch
Mathematics of Operations Research,Mathematics of Operations Research,1,1,eng_operationsresearch
Mathematics of Operations Research,Mathematical Methods of Operations Research,0.899,0.773,eng_operationsresearch
Mathematics of Operations Research,Mathematics of Computation,0.89,0.543,eng_operationsresearch
Mathematical Programming,Mathematical Programming,1,1,eng_operationsresearch
Mathematical Programming,Mathematical Programming Computation,0.933,0.676,eng_operationsresearch
Mathematical Programming,Mathematical Reports,0.9,0.52,eng_operationsresearch
Manufacturing & Service Operations Management,Manufacturing & Service Operations Management,1,1,eng_operationsresearch
Manufacturing & Service Operations Management,Manufacturing Engineering,0.874,0.348,eng_operationsresearch
Manufacturing & Service Operations Management,Manufacturing Engineer,0.865,0.348,eng_operationsresearch
Journal of Operations Management,Journal of Operations Management,1,1,eng_operationsresearch
Journal of Operations Management,Journal of Promotion Management,0.927,0.758,eng_operationsresearch
Journal of Operations Management,Journal of Airport Management,0.925,0.667,eng_operationsresearch
Journal of Manufacturing Technology Management,Journal of Manufacturing Technology Management,1,1,eng_operationsresearch
Journal of Manufacturing Technology Management,Journal of Global Information Technology Management,0.909,0.673,eng_operationsresearch
Journal of Manufacturing Technology Management,Journal of healthcare information management,0.901,0.511,eng_operationsresearch
International Journal of Production Research,International Journal of Production Research,1,1,eng_operationsresearch
International Journal of Production Research,International Journal of Protein Research,0.967,0.844,eng_operationsresearch
International Journal of Production Research,International journal of action research,0.957,0.867,eng_operationsresearch
International Journal of Production Economics,International Journal of Production Economics,1,1,eng_operationsresearch
International Journal of Production Economics,International Journal of Production Research,0.945,0.783,eng_operationsresearch
International Journal of Production Economics,International Journal of Food and Agricultural Economics,0.939,0.632,eng_operationsresearch
International Journal of Physical Distribution & Logistics Management,International Journal of Physical Distribution & Logistics Management,1,1,eng_operationsresearch
International Journal of Physical Distribution & Logistics Management,International Journal of Physical Medicine and Rehabilitation,0.917,0.614,eng_operationsresearch
International Journal of Physical Distribution & Logistics Management,International Journal of Physical Modelling in Geotechnics,0.913,0.571,eng_operationsresearch
International Journal of Operations & Production Management,International Journal of Operations & Production Management,1,1,eng_operationsresearch
International Journal of Operations & Production Management,International Journal of Retail & Distribution Management,0.936,0.7,eng_operationsresearch
International Journal of Operations & Production Management,International Journal of Computer and organization Trends,0.932,0.583,eng_operationsresearch
European Journal of Operational Research,European Journal of Operational Research,1,1,eng_operationsresearch
European Journal of Operational Research,European journal of educational research,0.954,0.878,eng_operationsresearch
European Journal of Operational Research,European Journal of Forest Research,0.941,0.707,eng_operationsresearch
Computers & Operations Research,Computers & Operations Research,1,1,eng_operationsresearch
Computers & Operations Research,Computers & Geosciences,0.89,0.438,eng_operationsresearch
Computers & Operations Research,Computers & Education,0.882,0.5,eng_operationsresearch
Computers & Industrial Engineering,Computers & Industrial Engineering,1,1,eng_operationsresearch
Computers & Industrial Engineering,Computer and Digital Engineering,0.917,0.657,eng_operationsresearch
Computers & Industrial Engineering,Computers & Electrical Engineering,0.907,0.8,eng_operationsresearch
Annals of Operations Research,Annals of Operations Research,1,1,eng_operationsresearch
Annals of Operations Research,Annals of Forest Research,0.924,0.633,eng_operationsresearch
Annals of Operations Research,Annals of leisure research,0.918,0.633,eng_operationsresearch
The Journal of Thoracic and Cardiovascular Surgery,The Journal of Thoracic and Cardiovascular Surgery,1,1,med_cardiology
The Journal of Thoracic and Cardiovascular Surgery,The Journal of thoracic surgery,0.905,0.627,med_cardiology
The Journal of Thoracic and Cardiovascular Surgery,The Open Cardiovascular and Thoracic Surgery Journal,0.902,0.925,med_cardiology
The Annals of Thoracic Surgery,The Annals of Thoracic Surgery,1,1,med_cardiology
The Annals of Thoracic Surgery,The Annals of African Surgery,0.937,0.742,med_cardiology
The Annals of Thoracic Surgery,The Journal of Spinal Surgery,0.899,0.548,med_cardiology
Nature Reviews. Cardiology,Nature Reviews Cardiology,0.992,0.926,med_cardiology
Nature Reviews. Cardiology,Nature Reviews Urology,0.952,0.704,med_cardiology
Nature Reviews. Cardiology,Nature Reviews Neurology,0.937,0.704,med_cardiology
Journal of the American Heart Association,Journal of the American Heart Association,1,1,med_cardiology
Journal of the American Heart Association,Journal of the American Dental Association,0.945,0.837,med_cardiology
Journal of the American Heart Association,Journal of The American Pharmacists Association,0.94,0.771,med_cardiology
Journal of the American College of Cardiology,Journal of the American College of Cardiology,1,1,med_cardiology
Journal of the American College of Cardiology,Journal of The American College of Radiology,0.991,0.913,med_cardiology
Journal of the American College of Cardiology,Journal of the American College of Toxicology,0.964,0.87,med_cardiology
JAMA Cardiology,JAMA Cardiology,1,1,med_cardiology
JAMA Cardiology,JAMA Dermatology,0.92,0.588,med_cardiology
JAMA Cardiology,JAMA Neurology,0.904,0.625,med_cardiology
JACC: Heart Failure,Jacc-Heart Failure,0.933,0.85,med_cardiology
JACC: Heart Failure,Esc Heart Failure,0.824,0.7,med_cardiology
JACC: Heart Failure,Open Heart Failure Journal,0.767,0.556,med_cardiology
JACC: Cardiovascular Interventions,Jacc-cardiovascular Interventions,0.938,0.914,med_cardiology
JACC: Cardiovascular Interventions,JACC: Basic to Translational Science,0.856,0.378,med_cardiology
JACC: Cardiovascular Interventions,Journal of ICT Research and Applications,0.78,0.22,med_cardiology
JACC: Cardiovascular Imaging,Jacc-cardiovascular Imaging,0.978,0.897,med_cardiology
JACC: Cardiovascular Imaging,Acta Cardiologica Sinica,0.796,0.31,med_cardiology
JACC: Cardiovascular Imaging,Acta Chirurgica Iugoslavica,0.775,0.207,med_cardiology
International Journal of Cardiology,International Journal of Cardiology,1,1,med_cardiology
International Journal of Cardiology,International Journal of Audiology,0.983,0.889,med_cardiology
International Journal of Cardiology,International Journal of Acarology,0.977,0.889,med_cardiology
Heart rhythm,Heart Rhythm,1,1,med_cardiology
Heart rhythm,Heart,0.883,0.462,med_cardiology
Heart rhythm,Heart Drug,0.857,0.462,med_cardiology
Heart,Heart,1,1,med_cardiology
Heart,Heart Asia,0.9,0.545,med_cardiology
Heart,Heart Drug,0.9,0.545,med_cardiology
European journal of cardiovascular prevention and rehabilitation,European Journal of Cardiovascular Medicine,0.909,0.538,med_cardiology
European journal of cardiovascular prevention and rehabilitation,European Journal of Cardiovascular Nursing,0.902,0.538,med_cardiology
European journal of cardiovascular prevention and rehabilitation,European Journal of Physical and Rehabilitation Medicine,0.894,0.646,med_cardiology
European Journal of Heart Failure,European Journal of Heart Failure,1,1,med_cardiology
European Journal of Heart Failure,European Journal of Heart Failure Supplements,0.947,0.739,med_cardiology
European Journal of Heart Failure,European Journal of American Culture,0.941,0.622,med_cardiology
European Heart Journal-Cardiovascular Imaging,European Heart Journal,0.898,0.478,med_cardiology
European Heart Journal-Cardiovascular Imaging,European heart journal. Acute cardiovascular care,0.887,0.72,med_cardiology
European Heart Journal-Cardiovascular Imaging,European Educational Research Journal,0.882,0.435,med_cardiology
European Heart Journal,European Heart Journal,1,1,med_cardiology
European Heart Journal,European Heart Journal Supplements,0.929,0.657,med_cardiology
European Heart Journal,European Law Journal,0.921,0.739,med_cardiology
EP Europace,Europace,0.806,0.75,med_cardiology
EP Europace,Epe Journal,0.788,0.333,med_cardiology
EP Europace,Europe Oceans,0.783,0.5,med_cardiology
Circulation Research,Circulation Research,1,1,med_cardiology
Circulation Research,Circulation,0.91,0.571,med_cardiology
Circulation Research,Circulation-heart Failure,0.891,0.538,med_cardiology
Circulation,Circulation,1,1,med_cardiology
Circulation,Circulation Research,0.91,0.571,med_cardiology
Circulation,Circulation up-to-date,0.9,0.522,med_cardiology
Cardiovascular Research,Cardiovascular Research,1,1,med_cardiology
Cardiovascular Research,Cardiovascular Therapeutics,0.936,0.536,med_cardiology
Cardiovascular Research,Cardiovascular Surgery,0.927,0.625,med_cardiology
Procedia Economics and Finance,Procedia. Economics and finance,0.994,0.938,bus_busgeneral
Procedia Economics and Finance,Procedia food science,0.902,0.452,bus_busgeneral
Procedia Economics and Finance,Procedia environmental sciences,0.865,0.438,bus_busgeneral
Management Information Systems Quarterly,Management Information Systems Quarterly,1,1,bus_busgeneral
Management Information Systems Quarterly,Management Strategies Journal,0.877,0.39,bus_busgeneral
Management Information Systems Quarterly,Management Communication Quarterly,0.873,0.634,bus_busgeneral
Journal of Management Information Systems,Journal of Management Information Systems,1,1,bus_busgeneral
Journal of Management Information Systems,Journal of Intelligent Information Systems,0.919,0.814,bus_busgeneral
Journal of Management Information Systems,Journal of Management Information and Decision Sciences,0.918,0.643,bus_busgeneral
Journal of Enterprise Information Management,Journal of Enterprise Information Management,1,1,bus_busgeneral
Journal of Enterprise Information Management,Journal of Comparative International Management,0.902,0.667,bus_busgeneral
Journal of Enterprise Information Management,Journal of International Consumer Marketing,0.902,0.533,bus_busgeneral
Journal of Economic Psychology,Journal of Economic Psychology,1,1,bus_busgeneral
Journal of Economic Psychology,Journal of Economic Sociology,0.959,0.806,bus_busgeneral
Journal of Economic Psychology,Journal of Economic Geology,0.944,0.806,bus_busgeneral
Journal of Applied Economics,Journal of Applied Economics,1,1,bus_busgeneral
Journal of Applied Economics,Journal of Applied Econometrics,0.981,0.875,bus_busgeneral
Journal of Applied Economics,Journal of Life Economics,0.963,0.759,bus_busgeneral
International Review of Management and Marketing,International Review of Management and Marketing,1,1,bus_busgeneral
International Review of Management and Marketing,International Review of Management and Business Research,0.931,0.719,bus_busgeneral
International Review of Management and Marketing,International Journal of Management and Marketing Research,0.916,0.746,bus_busgeneral
International Journal of Information Management,International Journal of Information Management,1,1,bus_busgeneral
International Journal of Information Management,International Journal of Innovation Management,0.969,0.896,bus_busgeneral
International Journal of Information Management,International Journal of Contemporary Management,0.944,0.776,bus_busgeneral
International Journal of Forecasting,International Journal of Forecasting,1,1,bus_busgeneral
International Journal of Forecasting,International Journal of Testing,0.96,0.811,bus_busgeneral
International Journal of Forecasting,International Journal of Genetics,0.959,0.703,bus_busgeneral
Information Systems Research,Information Systems Research,1,1,bus_busgeneral
Information Systems Research,Information Systems Review,0.941,0.759,bus_busgeneral
Information Systems Research,Information Systems,0.936,0.69,bus_busgeneral
Information & Management,Information & Management,1,1,bus_busgeneral
Information & Management,Information Systems Management,0.902,0.742,bus_busgeneral
Information & Management,Information management & technology,0.895,0.694,bus_busgeneral
Family Business Review,Family Business Review,1,1,bus_busgeneral
Family Business Review,Mita business review,0.92,0.739,bus_busgeneral
Family Business Review,Keio business review,0.874,0.696,bus_busgeneral
European Research Studies,European Research Studies Journal,0.952,0.765,bus_busgeneral
European Research Studies,European research,0.936,0.692,bus_busgeneral
European Research Studies,European researcher,0.933,0.654,bus_busgeneral
European Journal of Information Systems,European Journal of Information Systems,1,1,bus_busgeneral
European Journal of Information Systems,European Journal of Inflammation,0.928,0.725,bus_busgeneral
European Journal of Information Systems,European Journal of Finance,0.918,0.525,bus_busgeneral
Environmental Innovation and Societal Transitions,Environmental innovation and societal transitions,1,1,bus_busgeneral
Environmental Innovation and Societal Transitions,Environmental Technology and Innovation,0.882,0.6,bus_busgeneral
Environmental Innovation and Societal Transitions,Environmental and Ecological Statistics,0.877,0.52,bus_busgeneral
Business Horizons,Business Horizons,1,1,bus_busgeneral
Business Horizons,Business History,0.911,0.611,bus_busgeneral
Business Horizons,Business Economics,0.906,0.579,bus_busgeneral
British Food Journal,British Food Journal,1,1,bus_busgeneral
British Food Journal,British Journal of Audiology,0.893,0.552,bus_busgeneral
British Food Journal,British Journal of Radiology,0.893,0.552,bus_busgeneral
Benchmarking: An International Journal,Benchmarking: An International Journal,1,1,bus_busgeneral
Benchmarking: An International Journal,Benchmarking,0.863,0.308,bus_busgeneral
Benchmarking: An International Journal,China: An International Journal,0.799,0.718,bus_busgeneral
American Journal of Agricultural Economics,American Journal of Agricultural Economics,1,1,bus_busgeneral
American Journal of Agricultural Economics,American Journal of Agricultural Economics Appendices,0.958,0.796,bus_busgeneral
American Journal of Agricultural Economics,American Journal of Agricultural and Biological Sciences,0.927,0.614,bus_busgeneral
American Economic Journal: Applied Economics,American Economic Journal: Applied Economics,1,1,bus_busgeneral
American Economic Journal: Applied Economics,American Economic Journal: Economic Policy,0.932,0.8,bus_busgeneral
American Economic Journal: Applied Economics,American Economic Journal: Microeconomics,0.932,0.8,bus_busgeneral
Workshop of Cross-Language Evaluation Forum,Workshop on Self-Organizing Maps,0.855,0.341,eng_databasesinformationsystems
Workshop of Cross-Language Evaluation Forum,Workshop on Modular Ontologies,0.854,0.295,eng_databasesinformationsystems
Workshop of Cross-Language Evaluation Forum,Workshop on Software and Performance,0.848,0.386,eng_databasesinformationsystems
Semantic Web,Semantic Web in Provenance Management,0.865,0.342,eng_databasesinformationsystems
Semantic Web,"Semantics, Knowledge and Grid",0.859,0.267,eng_databasesinformationsystems
Semantic Web,Semantic Wiki Workshop,0.858,0.435,eng_databasesinformationsystems
Knowledge and Information Systems,Knowledge and Information Systems,1,1,eng_databasesinformationsystems
Knowledge and Information Systems,Knowledge and Systems Engineering,0.883,0.676,eng_databasesinformationsystems
Knowledge and Information Systems,Knowledge and Process Management,0.882,0.5,eng_databasesinformationsystems
Journal of Big Data,Journal of Big Data,1,1,eng_databasesinformationsystems
Journal of Big Data,Journal of Diabetes,0.924,0.6,eng_databasesinformationsystems
Journal of Big Data,Journal of Trading,0.921,0.6,eng_databasesinformationsystems
International World Wide Web Conferences (WWW),International Middleware Conference,0.902,0.553,eng_databasesinformationsystems
International World Wide Web Conferences (WWW),International Conference on Web Services,0.876,0.66,eng_databasesinformationsystems
International World Wide Web Conferences (WWW),International MindTrek Conference,0.874,0.532,eng_databasesinformationsystems
International Semantic Web Conference,International Semantic Web Conference,1,1,eng_databasesinformationsystems
International Semantic Web Conference,International SpaceWire Conference,0.93,0.684,eng_databasesinformationsystems
International Semantic Web Conference,International Semantic Technology Conference,0.925,0.756,eng_databasesinformationsystems
International Conference on Web and Social Media (ICWSM),International Conference on Weblogs and Social Media,0.927,0.842,eng_databasesinformationsystems
International Conference on Web and Social Media (ICWSM),International Conference on Medical Biometrics,0.917,0.614,eng_databasesinformationsystems
International Conference on Web and Social Media (ICWSM),International Conference on Web Services,0.912,0.596,eng_databasesinformationsystems
International Conference on Very Large Databases,International Conference on Advanced Energy Materials,0.935,0.611,eng_databasesinformationsystems
International Conference on Very Large Databases,International Conference on Body Area Networks,0.934,0.633,eng_databasesinformationsystems
International Conference on Very Large Databases,International Conference on Big Data,0.929,0.653,eng_databasesinformationsystems
International Conference on Data Engineering,International Conference on Data Engineering,1,1,eng_databasesinformationsystems
International Conference on Data Engineering,International Conference on Data Mining,0.962,0.822,eng_databasesinformationsystems
International Conference on Data Engineering,International Conference on Web Engineering,0.953,0.889,eng_databasesinformationsystems
Information Systems,Information Systems,1,1,eng_databasesinformationsystems
Information Systems,Information Systems Review,0.946,0.741,eng_databasesinformationsystems
Information Systems,Information Systems Journal,0.941,0.714,eng_databasesinformationsystems
Information Processing & Management,Information Processing and Management,0.955,0.895,eng_databasesinformationsystems
Information Processing & Management,Information Technology & Management,0.936,0.694,eng_databasesinformationsystems
Information Processing & Management,Information Processing in Medical Imaging,0.92,0.643,eng_databasesinformationsystems
IEEE Transactions on Knowledge and Data Engineering,IEEE Transactions on Knowledge and Data Engineering,1,1,eng_databasesinformationsystems
IEEE Transactions on Knowledge and Data Engineering,IEEE Transactions on Engineering Management,0.912,0.673,eng_databasesinformationsystems
IEEE Transactions on Knowledge and Data Engineering,IEEE Transactions on Network and Service Management,0.909,0.577,eng_databasesinformationsystems
IEEE Transactions on Big Data,IEEE Transactions on Big Data,1,1,eng_databasesinformationsystems
IEEE Transactions on Big Data,IEEE Transactions on Smart Grid,0.946,0.656,eng_databasesinformationsystems
IEEE Transactions on Big Data,IEEE Transactions on Audio,0.942,0.7,eng_databasesinformationsystems
IEEE International Conference on Big Data,IEEE International Conference on Multimedia Big Data,0.943,0.792,eng_databasesinformationsystems
IEEE International Conference on Big Data,IEEE International Conference on Automatica,0.942,0.795,eng_databasesinformationsystems
IEEE International Conference on Big Data,IEEE International Conference on Ubi-Media Computing,0.939,0.679,eng_databasesinformationsystems
ACM Transactions on Intelligent Systems and Technology (TIST),ACM Transactions on Intelligent Systems and Technology,0.977,0.887,eng_databasesinformationsystems
ACM Transactions on Intelligent Systems and Technology (TIST),ACM Transactions on Internet Technology,0.888,0.581,eng_databasesinformationsystems
ACM Transactions on Intelligent Systems and Technology (TIST),ACM Transactions on Design Automation of Electronic Systems,0.881,0.532,eng_databasesinformationsystems
ACM SIGMOD International Conference on Management of Data,ACM Transactions on Modeling and Performance Evaluation of Computing,0.867,0.42,eng_databasesinformationsystems
ACM SIGMOD International Conference on Management of Data,ACM/IEEE International Conference on Mobile Computing and Networking,0.854,0.507,eng_databasesinformationsystems
ACM SIGMOD International Conference on Management of Data,ACM International Conference on Systems and Storage,0.85,0.655,eng_databasesinformationsystems
ACM SIGIR Conference on Research and Development in Information Retrieval,ACM International Conference on Interactive Experiences for TV and Online Video,0.856,0.525,eng_databasesinformationsystems
ACM SIGIR Conference on Research and Development in Information Retrieval,ACM SIGMIS Conference on Computers and People Research,0.856,0.473,eng_databasesinformationsystems
ACM SIGIR Conference on Research and Development in Information Retrieval,ACM Transactions on Modeling and Performance Evaluation of Computing,0.84,0.473,eng_databasesinformationsystems
ACM International Conference on Web Search and Data Mining,ACM International Conference on Systems and Storage,0.905,0.627,eng_databasesinformationsystems
ACM International Conference on Web Search and Data Mining,ACM international conference on Digital libraries,0.904,0.593,eng_databasesinformationsystems
ACM International Conference on Web Search and Data Mining,ACM International Conference Hybrid Systems: Computation and Control,0.887,0.551,eng_databasesinformationsystems
ACM International Conference on Information and Knowledge Management,ACM International Conference on Systems and Storage,0.89,0.594,eng_databasesinformationsystems
ACM International Conference on Information and Knowledge Management,ACM International Conference on Interactive Experiences for TV and Online Video,0.886,0.562,eng_databasesinformationsystems
ACM International Conference on Information and Knowledge Management,ACM international conference on Digital libraries,0.879,0.464,eng_databasesinformationsystems
ACM Conference on Recommender Systems,ACM Conference on Hypertext,0.877,0.526,eng_databasesinformationsystems
ACM Conference on Recommender Systems,ACM Conference on history of personal workstations,0.852,0.412,eng_databasesinformationsystems
ACM Conference on Recommender Systems,ACM SIGMIS Conference on Computers and People Research,0.833,0.491,eng_databasesinformationsystems
Turkish Journal of Mathematics,Turkish Journal of Mathematics,1,1,phy_algebra
Turkish Journal of Mathematics,Turkish Journal of Chemistry,0.936,0.677,phy_algebra
Turkish Journal of Mathematics,Turkish Journal of Orthodontics,0.928,0.75,phy_algebra
Transactions of the American Mathematical Society,Transactions of the American Mathematical Society,1,1,phy_algebra
Transactions of the American Mathematical Society,Transactions of The American Entomological Society,0.933,0.804,phy_algebra
Transactions of the American Mathematical Society,Transactions of the American Nuclear Society,0.929,0.74,phy_algebra
Selecta Mathematica,Rejecta Mathematica,0.93,0.8,phy_algebra
Selecta Mathematica,Selecta Mathematica-new Series,0.927,0.613,phy_algebra
Selecta Mathematica,Historia Mathematica,0.846,0.619,phy_algebra
Proceedings of the London Mathematical Society,Proceedings of The London Mathematical Society,1,1,phy_algebra
Proceedings of the London Mathematical Society,Proceedings of The Royal Society of London,0.884,0.766,phy_algebra
